Master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
201,1981-1999,1981-1999,,2000-07-04,2000-2001,__export__.account_fiscalyear_234,3360,4017,__export__.res_partner_510,0,0,0
202,,2012-2013,__export__.account_fiscalyear_246,2013-07-27,2013-2014,__export__.account_fiscalyear_247,6687,3649,__export__.res_partner_5462,0,0,0
204,,2012-2013,__export__.account_fiscalyear_246,2013-08-20,2013-2014,__export__.account_fiscalyear_247,2840,4160,__export__.res_partner_7634,0,0,0
205,,2012-2013,__export__.account_fiscalyear_246,2013-07-23,2013-2014,__export__.account_fiscalyear_247,7752,7773,__export__.res_partner_7104,0,0,0
206,,2011-2012,__export__.account_fiscalyear_245,2012-04-12,2012-2013,__export__.account_fiscalyear_246,3014,3659,__export__.res_partner_3681,0,0,0
207,,2012-2013,__export__.account_fiscalyear_246,2013-07-10,2013-2014,__export__.account_fiscalyear_247,3014,3659,__export__.res_partner_3681,0,0,0
208,,1982-1983,__export__.account_fiscalyear_548,2000-12-19,2000-2001,__export__.account_fiscalyear_234,7171,4006,__export__.res_partner_8018,0,0,0
209,,2000-2001,__export__.account_fiscalyear_234,2001-11-29,2001-2002,__export__.account_fiscalyear_235,6628,4016,__export__.res_partner_8516,0,0,0
210,,2010-2011,__export__.account_fiscalyear_244,2011-10-03,2011-2012,__export__.account_fiscalyear_245,6628,4016,__export__.res_partner_8516,0,0,0
211,,2011-2012,__export__.account_fiscalyear_245,2012-12-10,2012-2013,__export__.account_fiscalyear_246,6628,4016,__export__.res_partner_8516,0,0,0
212,,2009-2010,__export__.account_fiscalyear_243,2010-07-27,2010-2011,__export__.account_fiscalyear_244,5967,4059,__export__.res_partner_1293,0,0,0
213,,2011-2012,__export__.account_fiscalyear_245,2012-04-23,2012-2013,__export__.account_fiscalyear_246,5967,4059,__export__.res_partner_1293,0,0,0
214,,2009-2010,__export__.account_fiscalyear_243,2010-07-24,2010-2011,__export__.account_fiscalyear_244,2971,4056,__export__.res_partner_1977,0,0,0
215,,2012-2013,__export__.account_fiscalyear_246,2013-07-29,2013-2014,__export__.account_fiscalyear_247,3001,3652,__export__.res_partner_2300,0,0,0
216,,2010-2011,__export__.account_fiscalyear_244,2011-09-17,2011-2012,__export__.account_fiscalyear_245,3003,3654,__export__.res_partner_3962,0,0,0
217,,2010-2011,__export__.account_fiscalyear_244,2011-12-15,2011-2012,__export__.account_fiscalyear_245,5389,3925,__export__.res_partner_3935,0,0,0
218,,2011-2012,__export__.account_fiscalyear_245,2012-08-23,2012-2013,__export__.account_fiscalyear_246,5389,3925,__export__.res_partner_3935,0,0,0
219,,2012-2013,__export__.account_fiscalyear_246,2013-07-29,2013-2014,__export__.account_fiscalyear_247,5389,3925,__export__.res_partner_3935,0,0,0
220,,1991-1992,__export__.account_fiscalyear_557,2000-10-01,2000-2001,__export__.account_fiscalyear_234,7098,3650,__export__.res_partner_2941,0,0,0
221,,2012-2013,__export__.account_fiscalyear_246,2013-07-27,2013-2014,__export__.account_fiscalyear_247,6940,3647,__export__.res_partner_4884,0,0,0
222,,2012-2013,__export__.account_fiscalyear_246,2013-07-09,2013-2014,__export__.account_fiscalyear_247,1906,5462,__export__.res_partner_274,0,0,0
223,,2011-2012,__export__.account_fiscalyear_245,2012-08-21,2012-2013,__export__.account_fiscalyear_246,1960,5700,__export__.res_partner_8282,0,0,0
224,,1992-1993,__export__.account_fiscalyear_558,2000-03-24,1999-2000,__export__.account_fiscalyear_233,363,6321,__export__.res_partner_2785,0,0,0
