master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
221,,2010-2011,__export__.account_fiscalyear_187,2011-05-21,2011-2012,__export__.account_fiscalyear_188,5022,3381,__export__.res_partner_5248,0,0,0
222,,2011-2012,__export__.account_fiscalyear_188,2012-09-11,2012-2013,__export__.account_fiscalyear_189,5022,3381,__export__.res_partner_5248,0,0,0
223,1993-1998,1993-1998,,2001-03-01,2000-2001,__export__.account_fiscalyear_177,6941,3810,__export__.res_partner_6531,0,0,0
224,,1997-1998,__export__.account_fiscalyear_174,2000-07-12,2000-2001,__export__.account_fiscalyear_177,3436,3877,__export__.res_partner_941,0,0,0
225,1990-1997,1990-1997,,2001-03-30,2000-2001,__export__.account_fiscalyear_177,5273,3384,__export__.res_partner_1254,0,0,0
226,,2001-2002,__export__.account_fiscalyear_178,2002-10-16,2002-2003,__export__.account_fiscalyear_179,5273,3384,__export__.res_partner_1254,0,0,0
227,,2012-2013,__export__.account_fiscalyear_189,2013-05-23,2013-2014,__export__.account_fiscalyear_190,5105,3355,__export__.res_partner_3210,0,0,0
228,,2011-2012,__export__.account_fiscalyear_188,2012-09-14,2012-2013,__export__.account_fiscalyear_189,4992,3358,__export__.res_partner_481,0,0,0
229,,2011-2012,__export__.account_fiscalyear_188,2012-12-15,2012-2013,__export__.account_fiscalyear_189,4982,3378,__export__.res_partner_2633,0,0,0
230,,1994-1995,__export__.account_fiscalyear_482,2000-07-12,2000-2001,__export__.account_fiscalyear_177,2766,3903,__export__.res_partner_5867,0,0,0
231,1994-1998,1994-1998,,2005-04-25,2000-2001,__export__.account_fiscalyear_177,5786,3902,__export__.res_partner_6837,0,0,0
232,,2003-2004,__export__.account_fiscalyear_180,2005-04-25,2004-2005,__export__.account_fiscalyear_181,5786,3902,__export__.res_partner_6837,0,0,0
233,,2004-2005,__export__.account_fiscalyear_181,2005-04-25,2005-2006,__export__.account_fiscalyear_182,5786,3902,__export__.res_partner_6837,0,0,0
234,,2011-2012,__export__.account_fiscalyear_188,2012-09-18,2012-2013,__export__.account_fiscalyear_189,7657,7594,__export__.res_partner_3389,0,0,0
235,,2011-2012,__export__.account_fiscalyear_188,2012-12-15,2012-2013,__export__.account_fiscalyear_189,5055,3350,__export__.res_partner_1478,0,0,0
236,,1998-1999,__export__.account_fiscalyear_175,2001-03-31,2000-2001,__export__.account_fiscalyear_177,1022,6825,__export__.res_partner_701,0,0,0
237,,2004-2005,__export__.account_fiscalyear_181,2009-05-19,2005-2006,__export__.account_fiscalyear_182,1022,6825,__export__.res_partner_701,0,0,0
238,,2007-2008,__export__.account_fiscalyear_184,2009-05-19,2009-2010,__export__.account_fiscalyear_186,1022,6825,__export__.res_partner_701,0,0,0
239,,2008-2009,__export__.account_fiscalyear_185,2009-05-19,2009-2010,__export__.account_fiscalyear_186,1022,6825,__export__.res_partner_701,0,0,0
240,,2011-2012,__export__.account_fiscalyear_188,2013-03-07,2012-2013,__export__.account_fiscalyear_189,5020,3364,__export__.res_partner_3179,0,0,0
241,,2005-2006,__export__.account_fiscalyear_182,2009-03-27,2006-2007,__export__.account_fiscalyear_183,4975,3366,__export__.res_partner_7677,0,0,0
242,,2006-2007,__export__.account_fiscalyear_183,2009-03-27,2007-2008,__export__.account_fiscalyear_184,4975,3366,__export__.res_partner_7677,0,0,0
243,,2007-2008,__export__.account_fiscalyear_184,2009-03-27,2008-2009,__export__.account_fiscalyear_185,4975,3366,__export__.res_partner_7677,0,0,0
244,,2008-2009,__export__.account_fiscalyear_185,2009-08-13,2009-2010,__export__.account_fiscalyear_186,5268,3372,__export__.res_partner_6939,0,0,0
245,,2003-2004,__export__.account_fiscalyear_180,2007-01-31,2005-2006,__export__.account_fiscalyear_182,242,7152,__export__.res_partner_6452,0,0,0
246,,2005-2006,__export__.account_fiscalyear_182,2007-01-31,2006-2007,__export__.account_fiscalyear_183,242,7152,__export__.res_partner_6452,0,0,0
247,,2004-2005,__export__.account_fiscalyear_181,2007-01-31,2006-2007,__export__.account_fiscalyear_183,242,7152,__export__.res_partner_6452,0,0,0
248,,1998-1999,__export__.account_fiscalyear_175,2001-03-31,2000-2001,__export__.account_fiscalyear_177,5018,3346,__export__.res_partner_5182,0,0,0
249,,2004-2005,__export__.account_fiscalyear_181,2005-12-26,2005-2006,__export__.account_fiscalyear_182,4980,3370,__export__.res_partner_572,0,0,0
250,,2006-2007,__export__.account_fiscalyear_183,2007-10-19,2007-2008,__export__.account_fiscalyear_184,4980,3370,__export__.res_partner_572,0,0,0
251,,2009-2010,__export__.account_fiscalyear_186,2013-05-23,2010-2011,__export__.account_fiscalyear_187,4980,3370,__export__.res_partner_572,0,0,0
252,,2012-2013,__export__.account_fiscalyear_189,2013-05-23,2013-2014,__export__.account_fiscalyear_190,4980,3370,__export__.res_partner_572,0,0,0
253,,2012-2013,__export__.account_fiscalyear_189,2013-09-10,2013-2014,__export__.account_fiscalyear_190,205,7249,__export__.res_partner_1830,0,0,0
254,,2010-2011,__export__.account_fiscalyear_187,2013-09-10,2013-2014,__export__.account_fiscalyear_190,205,7249,__export__.res_partner_1830,0,0,0
255,,2012-2013,__export__.account_fiscalyear_189,2013-09-10,2013-2014,__export__.account_fiscalyear_190,7877,1032492,#N/A,0,0,0
256,,2012-2013,__export__.account_fiscalyear_189,2013-09-10,2013-2014,__export__.account_fiscalyear_190,3661,3402,__export__.res_partner_6231,0,0,0
257,,2012-2013,__export__.account_fiscalyear_189,2013-09-10,2013-2013,,7689,7710,__export__.res_partner_3432,0,0,0
258,,2011-2012,__export__.account_fiscalyear_188,2013-03-19,2012-2013,__export__.account_fiscalyear_189,5004,3393,__export__.res_partner_7575,0,0,0
259,,2012-2013,__export__.account_fiscalyear_189,2013-09-11,2013-2014,__export__.account_fiscalyear_190,2958,3869,__export__.res_partner_6176,0,0,0
260,,2010-2011,__export__.account_fiscalyear_187,2013-09-11,2013-2014,__export__.account_fiscalyear_190,204,7160,__export__.res_partner_7338,0,0,0
261,,2012-2013,__export__.account_fiscalyear_189,2013-09-11,2013-2014,__export__.account_fiscalyear_190,5467,3556,__export__.res_partner_8098,0,0,0
262,,2012-2013,__export__.account_fiscalyear_189,2013-09-11,2013-2014,__export__.account_fiscalyear_190,5425,3552,__export__.res_partner_3879,0,0,0
263,,2012-2013,__export__.account_fiscalyear_189,2013-09-11,2013-2014,__export__.account_fiscalyear_190,5372,3536,__export__.res_partner_2719,0,0,0
264,,2012-2013,__export__.account_fiscalyear_189,2013-09-11,2013-2014,__export__.account_fiscalyear_190,2975,3879,__export__.res_partner_6724,0,0,0
265,,2012-2013,__export__.account_fiscalyear_189,2013-09-11,2013-2014,__export__.account_fiscalyear_190,2930,3818,__export__.res_partner_1697,0,0,0
266,,2012-2013,__export__.account_fiscalyear_189,2013-09-12,2013-2014,__export__.account_fiscalyear_190,5117,3466,__export__.res_partner_5536,0,0,0
267,,2012-2013,__export__.account_fiscalyear_189,2013-09-12,2013-2014,__export__.account_fiscalyear_190,5085,3465,__export__.res_partner_5453,0,0,0
268,,2012-2013,__export__.account_fiscalyear_189,2013-09-12,2013-2014,__export__.account_fiscalyear_190,5242,3456,__export__.res_partner_3774,0,0,0
269,,2012-2013,__export__.account_fiscalyear_189,2013-09-12,2013-2014,__export__.account_fiscalyear_190,7708,7726,__export__.res_partner_1721,0,0,0
271,,2012-2013,__export__.account_fiscalyear_189,2013-09-13,2013-2014,__export__.account_fiscalyear_190,5633,6419,__export__.res_partner_4553,0,0,0
270,,2012-2013,__export__.account_fiscalyear_189,2013-09-13,2013-2014,__export__.account_fiscalyear_190,5356,3532,__export__.res_partner_2216,0,0,0
272,,2012-2013,__export__.account_fiscalyear_189,2013-09-23,2013-2014,__export__.account_fiscalyear_190,624,7012,__export__.res_partner_7144,0,0,0
273,,2012-2013,__export__.account_fiscalyear_189,2013-09-28,2013-2014,__export__.account_fiscalyear_190,2270,5643,__export__.res_partner_5219,0,0,0
274,,2012-2013,__export__.account_fiscalyear_189,2013-09-30,2013-2014,__export__.account_fiscalyear_190,1632,5745,__export__.res_partner_3727,0,0,0
275,,2012-2013,__export__.account_fiscalyear_189,2013-09-30,2013-2014,__export__.account_fiscalyear_190,4987,3387,__export__.res_partner_2729,0,0,0
276,,2012-2013,__export__.account_fiscalyear_189,2013-09-30,2013-2014,__export__.account_fiscalyear_190,3654,3398,__export__.res_partner_3173,0,0,0
277,,2012-2013,__export__.account_fiscalyear_189,2013-10-01,2013-2014,__export__.account_fiscalyear_190,5232,3423,__export__.res_partner_4359,0,0,0
278,,2012-2013,__export__.account_fiscalyear_189,2013-10-01,2013-2014,__export__.account_fiscalyear_190,2445,4856,__export__.res_partner_5829,0,0,0
279,,2012-2013,__export__.account_fiscalyear_189,2013-10-01,2013-2014,__export__.account_fiscalyear_190,5147,3440,__export__.res_partner_6052,0,0,0
281,,2012-2013,__export__.account_fiscalyear_189,2013-10-01,2013-2014,__export__.account_fiscalyear_190,5214,3442,__export__.res_partner_4476,0,0,0
280,,2012-2013,__export__.account_fiscalyear_189,2013-10-01,2013-2014,__export__.account_fiscalyear_190,3655,3399,__export__.res_partner_1562,0,0,0
282,,2012-2013,__export__.account_fiscalyear_189,2013-10-03,2013-2014,__export__.account_fiscalyear_190,5027,3459,__export__.res_partner_2182,0,0,0
283,,2005-2006,__export__.account_fiscalyear_182,2013-10-03,2013-2014,__export__.account_fiscalyear_190,509,5964,__export__.res_partner_335,0,0,0
284,,2012-2013,__export__.account_fiscalyear_189,2013-10-03,2013-2014,__export__.account_fiscalyear_190,509,5964,__export__.res_partner_335,0,0,0
285,,2012-2013,__export__.account_fiscalyear_189,2013-10-04,2013-2014,__export__.account_fiscalyear_190,5402,3464,__export__.res_partner_409,0,0,0
286,,2012-2013,__export__.account_fiscalyear_189,2013-10-05,2013-2014,__export__.account_fiscalyear_190,2118,5075,__export__.res_partner_7391,0,0,0
287,,2012-2013,__export__.account_fiscalyear_189,2013-10-05,2013-2014,__export__.account_fiscalyear_190,5156,3475,__export__.res_partner_3617,0,0,0
288,,2012-2013,__export__.account_fiscalyear_189,2013-10-09,2013-2014,__export__.account_fiscalyear_190,1377,6029,__export__.res_partner_2146,0,0,0
289,,2012-2013,__export__.account_fiscalyear_189,2013-10-09,2013-2014,__export__.account_fiscalyear_190,5320,3458,__export__.res_partner_7867,0,0,0
290,,2012-2013,__export__.account_fiscalyear_189,2013-10-09,2013-2014,__export__.account_fiscalyear_190,771,7011,__export__.res_partner_423,0,0,0
291,,2012-2013,__export__.account_fiscalyear_189,2013-10-11,2013-2014,__export__.account_fiscalyear_190,5310,3498,__export__.res_partner_779,0,0,0
292,,2012-2013,__export__.account_fiscalyear_189,2013-10-11,2013-2014,__export__.account_fiscalyear_190,7479,7464,__export__.res_partner_4741,0,0,0
