line_2,line_3,line_1,wakf_id/id,name,assess_year/id,date_from,acc_year/id,temp_acc_year
0,0,29160,__export__.res_partner_3523,1939,__export__.account_fiscalyear_228,2013-12-12,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_6869,4475,__export__.account_fiscalyear_228,2013-12-13,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_4747,4625,__export__.account_fiscalyear_228,2013-12-13,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_6348,6983,__export__.account_fiscalyear_225,2011-02-03,__export__.account_fiscalyear_225,
0,0,0,__export__.res_partner_2638,5165,__export__.account_fiscalyear_228,2013-12-13,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_7929,5170,__export__.account_fiscalyear_228,2013-12-13,__export__.account_fiscalyear_226,
,,,,,,,,
400000,0,161662,__export__.res_partner_4920,4382,__export__.account_fiscalyear_228,2013-12-14,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_509,8257,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_4064,5475,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_227,
0,0,1849.22,__export__.res_partner_5366,7037,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_223,
0,0,5644.2,__export__.res_partner_5366,7037,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_224,
0,0,3497.18,__export__.res_partner_5366,7037,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_225,
0,0,3541.48,__export__.res_partner_5366,7037,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_226,
0,0,5476.98,__export__.res_partner_5366,7037,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_3735,5570,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_218,
0,0,0,__export__.res_partner_3735,5570,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_219,
0,0,0,__export__.res_partner_3735,5570,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_220,
0,0,0,__export__.res_partner_3735,5570,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_221,
0,0,0,__export__.res_partner_3735,5570,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_222,
0,0,0,__export__.res_partner_3735,5570,__export__.account_fiscalyear_228,2013-12-17,__export__.account_fiscalyear_223,
0,0,0,__export__.res_partner_105,4205,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_105,4205,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_1672,4821,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_1672,4821,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
829720.7,0,51281.45,__export__.res_partner_675,4639,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_226,
1340557,0,58556.95,__export__.res_partner_675,4639,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_6082,6021,__export__.account_fiscalyear_227,2012-11-29,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_8502,7508,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_4867,6884,__export__.account_fiscalyear_227,2012-10-09,__export__.account_fiscalyear_224,
0,0,0,__export__.res_partner_4867,6884,__export__.account_fiscalyear_227,2012-10-09,__export__.account_fiscalyear_225,
0,0,965,__export__.res_partner_7182,2120,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
0,0,1089,__export__.res_partner_7835,1924,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_7374,7471,__export__.account_fiscalyear_225,2012-07-30,__export__.account_fiscalyear_224,
0,0,0,__export__.res_partner_7374,7471,__export__.account_fiscalyear_226,2012-07-30,__export__.account_fiscalyear_225,
0,0,0,__export__.res_partner_7374,7471,__export__.account_fiscalyear_227,2012-07-30,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_3651,1920,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_2436,7774,__export__.account_fiscalyear_225,2011-03-31,__export__.account_fiscalyear_225,
0,0,2204,__export__.res_partner_4512,6996,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
0,0,1998,__export__.res_partner_5707,2498,__export__.account_fiscalyear_228,2013-12-18,__export__.account_fiscalyear_227,
0,0,3020,__export__.res_partner_7848,2310,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_235,2191,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_227,
0,0,3061,__export__.res_partner_4615,7319,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_581,8285,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_223,
0,0,10160,__export__.res_partner_581,8285,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_224,
0,0,17282,__export__.res_partner_581,8285,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_225,
0,0,33347,__export__.res_partner_581,8285,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_226,
0,0,48349,__export__.res_partner_581,8285,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_227,
0,0,251664,__export__.res_partner_1695,7560,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_227,
0,0,5640,__export__.res_partner_5672,7807,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_656,5638,__export__.account_fiscalyear_227,2012-09-12,__export__.account_fiscalyear_226,
0,0,26201,__export__.res_partner_7153,2416,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_1859,8241,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_1859,8241,__export__.account_fiscalyear_228,2013-12-19,__export__.account_fiscalyear_227,
0,0,1847,__export__.res_partner_1122,2027,__export__.account_fiscalyear_228,2013-12-21,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_5553,6750,__export__.account_fiscalyear_228,2013-12-21,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_7879,6759,__export__.account_fiscalyear_228,2013-12-21,__export__.account_fiscalyear_225,
0,0,0,__export__.res_partner_950,6191,__export__.account_fiscalyear_227,2012-09-12,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_3522,7105,__export__.account_fiscalyear_228,2013-12-27,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_6242,7346,__export__.account_fiscalyear_228,2013-12-27,,2009-2012
0,0,2505,__export__.res_partner_7657,8246,__export__.account_fiscalyear_228,2013-12-28,__export__.account_fiscalyear_227,
0,0,1516,__export__.res_partner_1249,1723,__export__.account_fiscalyear_228,2013-12-28,__export__.account_fiscalyear_223,
0,0,3498,__export__.res_partner_1249,1723,__export__.account_fiscalyear_228,2013-12-28,__export__.account_fiscalyear_224,
0,0,4286,__export__.res_partner_1249,1723,__export__.account_fiscalyear_228,2013-12-28,__export__.account_fiscalyear_225,
0,0,5091,__export__.res_partner_1249,1723,__export__.account_fiscalyear_228,2013-12-28,__export__.account_fiscalyear_226,
